product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,review_content,img_link,product_link,user_id,user_name,review_id,review_title
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64.0,4.2,"24,269",high compatibility compatible with iphone 12 11 xxsmaxxr iphone 88 plusiphone 77 plusiphone 6s6s plusiphone 66 plusiphone 55s5cseipad proipad air 12ipad mini 123ipod nano7ipod touch and more apple devicesfast chargedata sync it can charge and sync simultaneously at a rapid speed compatible with any charging adaptor multiport charging station or power bankdurability durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibilityhigh security level it is designed to fully protect your device from damaging excessive currentcopper core thickmultilayer shielding antiinterference protective circuit equipmentwarranty 12 months warranty and friendly customer services ensures the longtime enjoyment of your purchase if you meet any question or problem please dont hesitate to contact us,looks durable charging is fine toono complainscharging is really fast good producttill now satisfied with the qualitythis is a good product the charging speed is slower than the original iphone cablegood quality would recommend had worked well till date and was having no issuecable is also sturdy enoughhave asked for replacement and company is doing the samevalue for money,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1,AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav,R3HXWT0LRP0NMF,satisfied
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,43.0,4.0,"43,994",compatible with all type c enabled devices be it an android smartphone mi samsung oppo vivo realme oneplus etc tablet laptop macbook chromebook etcsupports quick charging 2030unbreakable made of special braided outer with rugged interior bindings it is ultradurable cable that wont be affected by daily rough usageideal length it has ideal length of 15 meters which is neither too short like your typical 1meter cable or too long like a 2meters cablesupports maximum 3a fast charging and 480 mbps data transfer speed6 months manufacturer warranty from the date of purchase,i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and its still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging supportit quality is good at this price and the main thing is that i didnt ever thought that this cable will be so long its good one and charging power is too good and also supports fast chargingvalue for money with extra lengthgood working fineproduct quality is goodgoodvery goodbought for my daughters old phonebrand new cable it was not charging i already repacked and requested for replacementi checked again and there was some green colour pastefungus inside the micro usb connector i cleaned with an alcoholic and starts working againchecked the ampere of charging speed got around 1400ma1500ma not bad came with braided 15m long cable pretty impressive for the pricecant blame the manufacturerbut quality issues by the distributor they might have stored in very humid place,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2,AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn,RGIQEG07R9HS2,a good braided cable for your type c device
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,1899.0,90.0,3.9,"7,928",fast charger data syncwith builtin safety proctections and fourcore copper wires promote maximum signal quality and strength and enhance charging data transfer speed with up to 480 mbs transferring speed compatibilitycompatible with iphone 13 1211 x 8 7 6 5 ipad air pro mini ios devices sturdy durablethe jacket and enforced connector made of tpe and premium copper are resistant to repeatedly bending and coiling ultra high quality according to the experimental results the fishbone design can accept at least 20000 bending and insertion tests for extra protection and durability upgraded 3d aluminum connector and exclusive laser welding technology which to ensure the metal part wont break and also have a tighter connection which fits well even with a protective case on and will never loose connection good after sales serviceour friendly and reliable customer service will respond to you within 24 hours ! you can purchase with confidenceand every sale includes a 365day worryfree service to prove the importance we set on quality,not quite durable and sturdy good nice productworking wellits a really nice product,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Kunal,R3J3EQQ9TZI5ZJ,good speed for earlier versions
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.0,699.0,53.0,4.2,"94,363",the boat deuce usb 300 2 in 1 cable is compatible with smartphones tablets pc peripherals bluetooth speakers power banks and all other devices with typec as well as micro usb portit ensures 3a fast charging and data transmissions with rapid sync at 480 mbpsthe premium nylon braided skin makes it sturdy and invincible against external damageits aluminium alloy shell housing makes it last longer with 10000 bends lifespan with extended frame protection for strain reliefthe resilient and flexible design offers a tangle free experience seamlesslydeuce usb 300 cable offers a perfect 15 meters in length for smooth hasslefree user experience2 years warranty from the date of purchase,good productlong wirecharges goodnicei bought this cable for rs339 worthy product for this price i tested it in various charger adapters 33w and 18w it supports fast charging as wellgoodoki had got this at good price on sale on amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days onlyi like this product,https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4,AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Omkar dhale,R3EEUZKKK9J36I,good product
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,399.0,61.0,4.2,"16,905",charge sync function this cable comes with charging data sync functionhigh quality material tpe nylon material to make sure that the life of the cable is enhanced significantlylong cord the cable is extra thick 12 meter long optimized for an easy use for your comfort at home or officemore durablethis cable is unique interms of design and multiuse and is positioned to provide the best comfort and performance while usinguniversal compatibility compatible with all devices like iphone xs x xr 8 7 6s 6 5s ipad pro ipad mini and ipad air,bought this instead of original apple does the work for 150rs not as fast as apple charger but its a good option if you want cheap and good product bought it for ipad pro 105 and its working flawlessly build quality is ok its not like i am gonna hang my clothes on it and i want a very strong cable even a braided cable stop working after a year i have used both anker and apple store strong braided cable they all stop working after a year so please dont buy high end cables just for that instead choose a this one and even if its stops working withing a year you only loose 150rs compares to 2000rsupdatepin has stopped charging from one side now i have to slip the pin to charge from other side but i will update and let know for how long does it workits good not sure about durability as the pin area feels a bit fragiledoes not support apple carplayso was little disappointed about thatother than that cable is made up of very good qualitybest to buy100 not fathfulwriting this review post 10 months and 3 orders of the same producthonestly portronics konnect l lightning cable works like magic with the original apple charging brickseeing the price of the cable i initially hesitated buying as it was as low as 99 with the offers and so i wasnt sure if it would work well with my iphone 12 or whether it would impact my iphones battery health because all the other lightning cable brands were costing over 350 like wayona amazon basics etcearlier i was using wayona brand lightning cable with eventually frayed and stopped workingcharging speedcharges my iphone fast enough almost similar compared to the original cable level when used with 12w original apple power adapterquality and durabilitygreat quality braided cable and doesnt tangle easily and can withstand daytoday usagelshaped pinthis is very innovative by portronics and it makes sure the cable doesnt get damaged even if used while chargingcarplay and data syncworks smoothly with carplay and syncs data effortlesslyps i have used this cable only with the original apple charging brick and extremely satisfied with its performancebetter than i expect the product i like that quality and i plan to buy same type cable come with usb c to lighting cable for emergency purpose that much i love this cable buy for this cable only emergency uses only since good onegood product and value for money,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5,AE3Q6KSUK5P75D5HFYHCRAOLODSA,rahuls6099,R1BP4L2HH9TFUP,as good as original
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,1000.0,85.0,3.9,"24,871",fast charging data sync solero tb301 typec cable supports fast charge up to 5v3a for devices and data syncing speed up to 480mbpsuniversal compatibility this usb charging cable connects usb typec devices with standard usb devices like laptops hard drives power banks wall and car chargers etcconnector one reversible type cconnector two usb a typerough tough typec cable charging cable with a doublebraided exterior premium aramid fiber core and metal plugs it has passed 10000 bending tests and can easily withstand daily useextended length 15meter long ctype cable uses nylon material to protect the wire and avoid knotsperfect fit connectors ptron soler usbc has passed the 5kg load test swing test 5000 times connect disconnect to ensure that there are no loose connections,its a good productlikevery good item strong and useful usb cablevalue for moneythanks to amazon and producer product and useful productsturdy but does not support 33w charging,https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6,AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,Jayesh,R7S8ANNSDPR40,its pretty good
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,176.63,499.0,65.0,4.1,"15,188",it ensures high speed transmission and charging by offering 3a fast charging and data transmissions with rapid sync at 480 mbpsthe braided skin makes it durable and invincible against external damage so you can have an absolute hasslefree tangle free experienceits durable pvc housing and the flexible design makes it last 6 times longer than other cablesusb cable offers a perfect 15 meters in length for smooth hasslefree user experience for superior charging data transfer tasksthe compact and smooth aluminium connector fits most cases seamlessly and resists corrosion for signal puritymicro usb 55 cable offers universal compatibility as it is compatible with most android smartphones tablets pc peripherals bluetooth speakers power banks game consoles all microusb enabled devices2 years warranty from the date of purchase,build quality is good and it is comes with 2 year warrantygood productbought it for charging my mobile tab but it doesnt work for lenovo m8 tabguys this cable is is best compare of everyone over heat protection quickly charging but chance to shock circuitgoodnicegood quality15एम क डट कबल मर लए बहत ह लभदयक ह म इस कबल क लइन म चरज करत समय फन बहत आरम स उपयग कर प रह ह आप इस कबल स 15watt क चरजर उस कर सकत ह इसस जड नह लकल बजर म इसक दम 150 ह अमजन प य कबल मझ 67 म मल गरव स कह हम हद ह जय हद जय भरत,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8,AG7C6DAADCTRQJG2BRS3RIKDT52Q,Vivek kumar,R8E73K2KWJRDS,long durable
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,229.0,299.0,23.0,4.3,"30,411",1m long typec usb cablesturdy and durable with usb cable you can transfer data with speeds of upto 480 mbpsupto 3a output6months warrantysturdy and durable with usb cable you can transfer data with speeds of upto 480 mbps6months warrantyup to 3a output,worth for money suitable for android auto my purpose served in cargot it for rs150everything is okay but packaging is not good feeling like seller gave is used cablegood productgood product but cost is moreoriginal cablei bought this cable at 129 using this cable for android auto in my car perfectly works without any glitchoriginal mi cable will charge upto 33 watts got it for rs 150 i have 67 watt charger and i want a cable for my car so i went for it i checked the performance with battery charging app the charging speed is exactly half of my 67 watt original cable go for itit provided me turbo charging i recommend for all redmi note 10s mobile phones as it provide turbo charging i am veri happy with this product,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9,AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,Pavan A H,R2X090D1YHACKR,worth for money suitable for android auto
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499.0,999.0,50.0,4.2,"1,79,691",usb wifi adapter speedy wireless transmission at up to 150mbps ideal for video streaming or internet callsmini design sleek miniature design so small that once plugged in can be left in a laptops usb portadvanced security supports 64128 wep wpa pa2wpapskwpa2psktkipaescompatibility windows 11108187xp mac os 1015 and earlier linuxeasy setup connect in no time with easy setup utility in 14 languagesin an unlikely case of product quality related issue we may ask you to reach out to brands customer service support and seek resolution we will require brand proof of issue to process replacement request,i use this to connect an old pc to internet i tried lubuntu 20 and ubuntu 22 it worked out of the box in both didnt have to do any setup theres an extender cable so you can place this in a comfortable place get the model with antenna because otherwise youll have range problems if youre not directly in line of sight from your wifi routerthe wifi dongle is a simple plug play device will start catching available networks right after you plug it into your usb port no additional installations softwares requires signal strength is good just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing hence a star lessproseasy to use portablecan be connected to mobile hotspot and used in pc budget friendlyless installation processno heating issues good coveragebest alternative for usb tethering phones battery may get damaged for long term run with tetheringconsinternet connection speed varies at times also depends on your modem or cellular connectionissues occur while installing via cd which is available along with the product installation driver can be downloaded from tplink siteneeded to reconnect the adapter every time system is turned onwill not work if your software has some issues so encountered any just update your systemworked for mesupport center is worse calls are unattended most of the times or just visit nearby storeconclusionbrought this 499ideal for users who dont need very high speed internet usagea good alternative for usb tethering and are on budge1080p youtube videos can be easily played with this without any interruptionswifi connectivity is a great good result for me however some jitter problems did existthis is perfect device to connect wifi go for itthis wifi adopter is good workingpictures attachedsizedesign build quality packaging software speed connectivity experience warranty size and designthe best part about this is that it is very compact in size and very sober and elegant in design this is a big plus as it is easy plug in and use add to it the good sober designbuild qualitythe build quality is undoubtedly superb just no qualms about that at all when held it doesnt give off that cheap and flimsy productlike feeling it is good sturdy with its build qualitypackagingthis part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation this ensures that i as a customer have received something not damaged internally alreadysoftwarethis is actually good but not great part with the productthe good part is that a cd has been provided with it along with a manualthe not great part is that no linux support has been given from version 2 onwards this is bad reallyspeedit easily supports net speeds upto 300 mbps practically speaking i have tested it at my home and it easily supports net speed of over 100150 mbps without a sighon testing i found that it did connect to 5ghz network without any issueconnectivityplease mark its not feet its metres multiply metres x 3 to get the distance in feetit easily connects to my laptop or phone from 7 metres across one room so thats 21 feet i mean even our old bluetooth used to connect to about 15 ftso 2025 feet is not at all an issue with this this is the big plus i found with the productexperiencefrom this point of view so far except the linux noncompatibility issue i found no other flaws with this productso overall its a great productwarrantyits 3 years so i am assured that atleast for 3 years i am tensionfree and not just 1 year contrary to most electronic items today that only provide 1 year warranty with their itemsbest adapter i have bought ever works nicely seemless connectivity,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10,AGV3IEFANZCKECFGUM42MRH5FNOA,Azhar JuMan,R1LW6NWSVTVZ2H,works on linux for me get the model with antenna
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,299.0,33.0,4.0,"43,994",universal compatibility it is compatible with all micro usb enabled devices be it an android smartphone tablet pc peripheral or any other micro usb compatible deviceunbreakable made of special braided outer with rugged interior bindings it is ultradurable cable that wont be affected by daily rough usageideal length it has ideal length of 15 meters which is neither too short like your typical 1meter cable or too long like a 2meters cablesupports maximum 3a fast charging and 480 mbps data transfer speed6 months manufacturer warranty from the date of purchase,i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and its still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging supportit quality is good at this price and the main thing is that i didnt ever thought that this cable will be so long its good one and charging power is too good and also supports fast chargingvalue for money with extra lengthgood working fineproduct quality is goodgoodvery goodbought for my daughters old phonebrand new cable it was not charging i already repacked and requested for replacementi checked again and there was some green colour pastefungus inside the micro usb connector i cleaned with an alcoholic and starts working againchecked the ampere of charging speed got around 1400ma1500ma not bad came with braided 15m long cable pretty impressive for the pricecant blame the manufacturerbut quality issues by the distributor they might have stored in very humid place,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11,AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn,RGIQEG07R9HS2,a good braided cable for your type c device
